cate,en1,en2,en3,en4,en5,en6,en7,en8,en9,en10,en11,en12,en13,en14,en15
A,0.246,0.129,0.071,0.208,0.213,0.239,0.182,0.206,0.198,0.201,0.27,0.222,0.144,0.128,0.22
A,0.251,0.131,0.068,0.211,0.216,0.236,0.181,0.21,0.204,0.203,0.264,0.223,0.147,0.129,0.223
A,0.249,0.131,0.068,0.217,0.217,0.241,0.183,0.21,0.207,0.204,0.263,0.226,0.15,0.13,0.223
A,0.255,0.125,0.075,0.216,0.22,0.232,0.188,0.216,0.209,0.197,0.264,0.225,0.143,0.147,0.216
A,0.257,0.125,0.062,0.205,0.206,0.231,0.197,0.214,0.213,0.2,0.267,0.229,0.148,0.142,0.226
A,0.27,0.124,0.071,0.21,0.214,0.24,0.193,0.204,0.215,0.201,0.264,0.222,0.156,0.142,0.217
B,0.301,0.151,0.077,0.236,0.216,0.251,0.172,0.239,0.213,0.249,0.274,0.293,0.164,0.133,0.213
B,0.306,0.151,0.075,0.236,0.214,0.254,0.171,0.24,0.21,0.25,0.27,0.299,0.165,0.135,0.212
B,0.308,0.151,0.075,0.239,0.215,0.254,0.171,0.243,0.216,0.251,0.27,0.298,0.166,0.136,0.218
B,0.299,0.148,0.075,0.242,0.218,0.252,0.179,0.239,0.217,0.246,0.271,0.3,0.153,0.134,0.199
B,0.304,0.144,0.073,0.233,0.219,0.252,0.171,0.246,0.222,0.245,0.289,0.288,0.165,0.136,0.201
B,0.301,0.145,0.074,0.246,0.218,0.254,0.179,0.238,0.225,0.235,0.29,0.28,0.153,0.136,0.211
C,0.296,0.135,0.075,0.237,0.224,0.255,0.193,0.221,0.225,0.242,0.277,0.273,0.156,0.123,0.252
C,0.29,0.132,0.074,0.239,0.227,0.251,0.192,0.226,0.232,0.24,0.278,0.272,0.157,0.124,0.252
C,0.29,0.134,0.076,0.233,0.231,0.253,0.192,0.227,0.235,0.241,0.28,0.269,0.155,0.122,0.252
C,0.299,0.132,0.072,0.227,0.234,0.259,0.194,0.223,0.221,0.232,0.283,0.269,0.161,0.134,0.251
C,0.291,0.133,0.072,0.229,0.22,0.255,0.193,0.234,0.226,0.232,0.29,0.277,0.16,0.136,0.256
C,0.277,0.134,0.071,0.237,0.222,0.256,0.193,0.232,0.227,0.234,0.276,0.265,0.161,0.131,0.256
D,0.297,0.139,0.099,0.255,0.235,0.225,0.19,0.192,0.216,0.231,0.289,0.279,0.165,0.143,0.188
D,0.298,0.14,0.096,0.266,0.238,0.226,0.192,0.2,0.221,0.235,0.292,0.282,0.166,0.143,0.189
D,0.315,0.14,0.097,0.256,0.24,0.226,0.193,0.199,0.223,0.236,0.282,0.282,0.166,0.14,0.202
D,0.299,0.137,0.093,0.266,0.24,0.221,0.185,0.206,0.217,0.246,0.29,0.286,0.177,0.149,0.202
