LD,explained_variance_ratio,cumulative_explained_variance,cumulative_explained_variance_%
1,0.5182079327682464,0.5182079327682464,51.82079327682464
2,0.22053106785680904,0.7387390006250554,73.87390006250554
3,0.1112953113203599,0.8500343119454152,85.00343119454152
4,0.047712346574275116,0.8977466585196904,89.77466585196903
5,0.04022529566784786,0.9379719541875382,93.79719541875382
6,0.034441755569716834,0.972413709757255,97.2413709757255
7,0.010770328438282146,0.9831840381955372,98.31840381955372
8,0.007277515483027073,0.9904615536785643,99.04615536785643
9,0.004924290036780292,0.9953858437153446,99.53858437153445
10,0.0022303038758892135,0.9976161475912337,99.76161475912338
11,0.0012809422263453797,0.9988970898175791,99.8897089817579
12,0.0011029101824205747,0.9999999999999997,99.99999999999997
